--- Height Data ---
Count: 1061

Index,Height
0,0.0374678
1,0.340833
2,-0.41627
3,2.63039
4,4.31805
5,-0.003134
6,0.784307
7,3.4051
8,1.56325
9,4.94475
10,5.19232
11,5.72199
12,3.7505
13,5.06146
14,2.12355
15,3.80146
16,1.80721
17,5.49674
18,0.583412
19,-2.34627
20,-0.466895
21,1.95237
22,0.87898
23,3.319
24,1.51352
25,3.82506
26,-1.64646
27,3.19457
28,-3.72058
29,-0.486572
30,0.716785
31,0.469703
32,2.40808
33,0.735648
34,-0.151859
35,0.930775
36,0.249128
37,1.99618
38,-0.0863493
39,1.95362
40,2.61002
41,3.61156
42,1.06078
43,1.62202
44,-2.49028
45,0.690399
46,2.10889
47,0.158399
48,1.95895
49,-0.0245471
50,2.93189
51,-0.0363289
52,1.79843
53,1.17668
54,2.34452
55,2.96971
56,2.16598
57,0.667415
58,-0.0688368
59,1.75994
60,5.4613
61,2.59842
62,-1.54489
63,-1.31517
64,2.76072
65,-2.16618
66,3.98774
67,-2.00445
68,-2.74952
69,-0.308054
70,-0.299607
71,2.76796
72,-1.08318
73,-2.11717
74,-3.55684
75,0.29334
76,-2.61282
77,-0.900002
78,-3.72654
79,-1.35666
80,-1.62159
81,-3.67629
82,-2.85813
83,-3.7866
84,-5.3272
85,-4.07159
86,-3.90163
87,-4.54136
88,-5.34486
89,-5.53928
90,-1.18619
91,-0.948799
92,-0.564576
93,-4.33154
94,-1.49086
95,-3.78327
96,-3.07042
97,-3.98296
98,-3.58182
99,-2.77552
100,-3.55183
101,-5.00081
102,-2.35417
103,-4.20105
104,-3.82317
105,-3.07789
106,-3.20817
107,-5.16447
108,-3.41938
109,0.222616
110,-2.31388
111,-5.2079
112,-0.130143
113,-1.68682
114,1.43612
115,-0.782961
116,-3.2465
117,-4.35953
118,-4.38945
119,-6.40385
120,-6.98781
121,0.44461
122,2.51155
123,-0.107564
124,0.215042
125,0.416994
126,-2.94205
127,-6.65381
128,-5.42216
129,0.813133
130,-5.14142
131,-5.50951
132,-4.38247
133,-1.21733
134,-1.00164
135,-0.112005
136,-1.19212
137,-4.81133
138,-1.66953
139,0.00210814
140,-1.25987
141,-1.9493
142,2.12301
143,-2.02676
144,1.04529
145,-5.27137
146,-2.02061
147,-4.45387
148,-4.33289
