--- Height Data ---
Count: 1061

Index,Height
149,-1.64672
150,-4.05561
151,-6.04248
152,3.75816
153,-3.36176
154,-1.25862
155,-4.60828
156,3.0395
157,-1.68259
158,-6.58059
159,1.91753
160,0.319623
161,-5.44171
162,3.754
163,2.28164
164,-4.59694
165,1.55396
166,-1.12794
167,-2.42611
168,-1.42827
169,2.15189
170,3.28306
171,-2.54354
172,-2.40287
173,-2.67848
174,-1.92247
175,0.352034
176,-1.21174
177,4.44663
178,-1.46423
179,3.45176
180,4.73151
181,-1.49196
182,-4.86661
183,-1.39237
184,5.00879
185,3.35508
186,-2.60524
187,3.43
188,-0.480699
189,1.21141
190,3.27544
191,1.9339
192,2.87811
193,2.53353
194,5.30456
195,-1.75274
196,4.89214
197,4.94299
198,-1.63429
199,0.590955
200,-1.8883
201,0.27262
202,1.11966
203,0.410327
204,-1.55561
205,-4.36808
206,-3.06964
207,0.6187
208,-2.48665
209,3.4302
210,-5.24552
211,0.311625
212,4.23295
213,1.47904
214,-0.487921
215,1.52292
216,-3.34
217,-3.11654
218,-1.47437
219,1.21555
220,-0.860054
221,-0.0192633
222,-1.49821
223,0.288884
224,-0.943696
225,-3.39723
226,-2.08677
227,0.950311
228,-3.86359
229,0.387149
230,-3.53063
231,3.42251
232,1.00853
233,-2.74424
234,1.27854
235,2.33331
236,-2.26744
237,3.30318
238,0.223809
239,-4.93715
240,-2.38838
241,-1.9017
242,4.20321
243,-2.95426
244,1.32231
245,-3.31498
246,-3.57219
247,-1.44574
248,6.41019
249,-0.874423
250,4.18702
251,-4.3248
252,-2.23405
253,3.40518
254,3.26529
255,-2.07589
256,-0.434345
257,0.224846
258,-1.10646
259,-1.46218
260,3.96912
261,-4.93246
262,0.283061
263,0.344774
264,-5.1198
265,-3.95722
266,2.38383
267,-3.34163
268,5.0593
269,-1.36909
270,-3.9012
271,-1.65865
272,1.34952
273,5.12569
274,0.420815
275,4.5099
276,4.34958
277,0.857168
278,-5.34629
279,-1.31763
280,-0.52732
281,-6.07381
282,0.42512
283,-1.05407
284,1.86747
285,-0.0751261
286,4.56687
287,2.60174
288,2.8847
289,2.96789
290,5.24286
291,0.982205
292,-4.20034
293,6.71711
294,1.44497
295,-4.3799
296,-4.96482
297,-0.622447
298,0.14821
299,-0.396452
300,-1.34165
301,0.570566
302,-1.40455
303,-2.13221
304,1.43072
305,1.90342
306,-1.18817
307,4.64448
308,5.60584
309,2.0814
310,-2.34992
311,2.40101
312,-3.94318
313,2.61857
314,2.67855
315,-0.0724402
316,0.843661
317,-4.97032
318,-0.86975
319,5.09849
320,2.66215
321,6.42344
322,-0.592082
323,2.67962
324,-2.47088
325,-4.1924
326,0.783571
327,-3.00183
328,4.74414
329,2.4822
330,5.57712
331,1.69119
332,1.73625
333,-0.155425
334,1.41157
335,-2.48007
336,1.26966
337,0.345907
338,-0.381039
339,-3.96781
340,2.25524
341,1.37461
342,-4.1551
343,3.65879
344,-0.550488
345,-0.517498
346,4.00062
347,0.656012
348,-0.969798
349,-0.259067
350,-1.3118
351,4.97576
352,-1.42572
353,-1.39687
354,-0.681834
355,-1.98113
356,1.80861
357,3.68437
358,0.40931
359,-3.59632
360,2.03092
361,-2.41416
362,1.74517
363,0.589707
364,0.719256
365,5.91612
366,-1.48422
367,-5.50064
368,-4.53113
369,-2.03076
370,0.306387
371,2.51197
372,0.807184
373,-1.44596
374,2.05738
375,1.77131
376,1.64866
377,1.37339
378,2.69776
379,2.67485
380,1.4137
381,0.342486
382,-1.03042
383,-2.90976
384,3.0481
385,0.725347
386,-0.892595
387,-2.23733
388,0.545963
389,-1.27215
390,-1.65468
391,0.495989
392,-0.610933
393,0.431126
394,-0.670004
395,0.406684
396,0.683335
397,-1.14408
398,-3.50013
399,-1.39852
400,-0.9726
401,5.57578
402,-1.84595
403,0.63915
404,4.2663
405,-2.45468
406,-0.760474
407,-1.69707
408,-1.53709
409,3.61473
410,0.857528
411,3.94791
412,1.34765
413,0.0746707
414,1.07893
415,2.08196
416,0.0790967
417,3.15499
418,0.403245
419,-2.71219
420,0.83817
421,-1.73067
422,-0.574391
423,0.432928
424,1.20114
425,-1.68657
426,-0.941211
427,3.52158
428,2.0242
429,1.5037
430,3.15333
431,-4.10943
432,-6.02033
433,-2.03333
434,-0.850335
435,2.43547
436,1.7596
437,2.64826
438,1.5558
439,2.37044
440,-3.78259
441,1.1021
442,2.19406
443,-0.0716656
444,-4.33495
445,-0.0858352
446,-0.286358
447,3.09235
448,2.54877
449,1.55101
450,1.34897
451,0.558506
452,0.626052
453,0.600033
454,0.00552657
455,0.22281
456,-5.44325
457,1.42758
458,1.76833
459,-6.49483
460,1.97327
461,2.07402
462,3.09995
463,4.0153
464,3.10215
465,-0.191305
466,1.00305
467,5.6137
468,-4.06169
469,-6.39526
470,2.8818
471,3.92582
472,-0.985022
473,-2.62203
474,-4.26436
475,0.119007
476,0.531693
477,-0.765982
478,1.05176
479,-1.4939
480,-0.41544
481,-1.08527
482,-2.23028
483,-0.0985994
484,2.91708
485,-0.697494
486,0.819147
487,0.256232
488,-2.15546
489,-4.50491
490,0.893889
491,-1.65598
492,0.94716
493,-0.198519
494,2.74035
495,-2.33314
496,-2.87096
497,-0.179547
498,-4.9513
499,2.43814
500,0.811577
501,-4.6764
502,-2.43972
503,-1.65318
504,-2.18524
505,0.169172
506,1.42033
507,4.87869
508,-0.425403
509,3.27702
510,-0.0478822
511,-0.315042
512,2.02518
513,3.53878
514,-1.04818
515,-0.274054
516,2.65875
517,0.82047
518,1.88974
519,-5.49279
520,5.37287
521,4.0649
522,0.405604
523,-2.19177
524,2.36335
525,1.31311
526,-0.0286074
527,1.1154
528,-1.94834
529,2.35888
530,3.39368
531,4.159
532,1.02654
533,-1.7011
534,-1.82639
535,-0.431899
536,-2.41879
537,-0.383786
538,-0.592872
539,1.89137
540,-2.65938
541,-0.37951
542,-4.13221
543,-0.825766
544,0.427356
545,0.629616
546,0.999988
547,0.390572
548,-0.0910314
549,-0.934284
550,0.156733
551,0.991162
552,3.50512
553,0.0261885
554,-1.57569
555,2.73095
556,-0.207431
557,-0.806355
558,-3.46647
559,0.0286606
560,0.766888
561,-1.83175
562,0.190928
563,-1.40373
564,1.74161
565,3.21583
566,0.055156
567,-2.92973
568,5.00713
569,-1.28063
570,-4.18712
571,-2.32184
572,-2.21187
573,-2.11023
574,4.9806
575,2.23571
576,0.912318
577,3.67003
578,5.33986
579,-4.54782
580,-2.19511
581,0.220648
582,-0.483885
583,-2.76971
584,1.97992
585,-3.243
586,-4.28338
587,-4.65025
588,3.75376
589,-3.0038
590,-0.858019
591,-6.57768
592,0.398458
593,-4.08645
594,3.8987
595,1.31774
596,-1.4376
597,-4.38349
598,2.91335
599,-2.12369
600,5.41239
601,3.83318
602,-0.0326593
603,-2.49538
604,1.41087
605,-4.40844
606,1.01844
607,-2.38785
608,5.30673
609,-2.27005
610,-3.12447
611,6.87133
612,-5.23612
613,-2.47916
614,-5.53032
615,3.36947
616,-1.05466
617,-1.41154
618,2.63237
619,-5.09134
620,-0.821836
621,-2.63741
622,-2.96414
623,1.05198
624,-2.49368
625,5.00118
626,4.46084
627,4.04497
628,-2.40417
629,-0.358733
630,-0.247715
631,3.60471
632,0.216326
633,0.541661
634,0.227682
635,-3.60687
636,-1.87595
637,1.51888
638,4.69156
639,6.0841
640,0.215628
641,4.75886
642,7.42913
643,4.11314
644,3.26438
645,4.61326
646,-2.39184
647,2.96745
648,-1.09725
649,3.44083
650,-0.390083
651,-3.37965
652,3.32312
653,0.872319
654,5.58482
655,-1.52644
656,4.37625
657,4.39361
658,1.72759
659,3.59742
660,3.86644
661,-4.90118
662,5.8363
663,-0.230702
664,1.74848
665,-2.73157
666,-1.51658
667,3.72673
668,-1.74949
669,5.62021
670,3.17126
671,-2.76412
672,1.37704
673,-2.4488
674,3.00744
675,5.07178
676,4.69654
677,2.62828
678,1.17155
679,-2.67886
680,-2.86942
681,-0.912754
682,4.20528
683,3.35682
684,-5.78206
685,-3.86661
686,0.865484
687,1.77186
688,-2.15138
689,2.84788
690,-2.01824
691,-2.39119
692,-1.41054
693,1.45774
694,1.34269
695,0.549078
696,-0.0980545
697,-0.604182
698,2.20467
699,-2.16516
700,2.60758
701,3.3314
702,-1.49601
703,5.37007
704,-2.5073
705,-5.51212
706,-2.23031
707,-4.16127
708,0.877661
709,0.0910564
710,-1.02967
711,-3.00531
712,0.941925
713,4.86961
714,-1.84898
715,1.94269
716,0.213902
717,2.09554
718,-1.30889
719,-3.65261
720,3.52457
721,0.0377835
722,5.16147
723,2.45346
724,-0.503656
725,-2.15921
726,-0.622871
727,2.30686
728,0.550644
729,2.5237
730,0.458528
731,-2.09122
732,-3.36939
733,-2.4102
734,3.39686
735,-5.94107
736,0.972405
737,-0.581573
738,-3.07916
739,-3.01019
740,-0.211931
741,3.009
742,-1.72753
743,-2.73107
744,-1.74115
745,3.17011
746,-1.85985
747,-1.10123
748,-5.59558
749,0.157139
750,1.29478
751,-2.08135
752,-3.38426
753,-3.88643
754,1.42803
755,0.45784
756,-5.50682
757,-3.5896
758,2.95358
759,-1.52126
760,1.05802
761,-5.6684
762,0.976545
763,0.184288
764,-1.11265
765,-0.22578
766,-2.34319
767,-1.66695
768,1.67983
769,-1.96719
770,-3.92612
771,-1.51649
772,-2.4169
773,-3.45677
774,1.61935
775,-5.15166
776,-5.29928
777,1.21016
778,-4.36516
779,-5.80249
780,-1.52189
781,0.0249928
782,-0.892064
783,-2.784
784,-5.14608
785,-3.05929
786,0.21523
787,-3.57062
788,4.35899
789,4.41697
790,-3.51531
791,-3.06499
792,2.21244
793,-0.960002
794,-3.1851
795,-6.48091
796,-3.54715
797,-0.278014
798,-5.64915
799,-1.31536
800,2.25233
801,-3.23745
802,-5.95714
803,2.26433
804,-1.52943
805,-1.92796
806,0.268938
807,-2.46802
808,-5.90314
809,-2.04353
810,-4.31416
811,-0.434893
812,-5.52614
813,-2.79059
814,5.52448
815,0.090653
816,-4.40871
817,-4.63143
818,-4.09299
819,-4.31904
820,-3.57558
821,-1.79495
822,3.98077
823,-1.45365
824,-3.89426
825,-2.89361
826,-3.53775
827,-4.68035
828,-2.36765
829,-7.13002
830,-2.28862
831,2.21246
832,-6.65995
833,-0.422547
834,-4.20583
835,3.79452
836,3.87102
837,-6.42213
838,-4.85267
839,-2.19104
840,-5.05415
841,4.45893
842,-1.63358
843,-2.06692
844,-6.02456
845,-5.21882
846,-5.04918
847,-3.54021
848,-4.15788
849,-4.12449
850,-5.88689
851,-3.51082
852,0.891306
853,-3.15644
854,-1.23481
855,-1.85243
856,-2.36074
857,-1.26739
858,-4.00819
859,-0.967145
860,-5.44551
861,-0.946709
862,-0.951203
863,-0.318701
864,-0.930639
865,-4.06563
866,1.50737
867,1.6355
868,-2.88543
869,-0.40672
870,1.66816
871,-0.404333
872,-2.84932
873,-0.12339
874,-2.06687
875,-4.73088
876,-4.46804
877,-3.20611
878,-4.83881
879,-0.927196
880,-3.27355
881,-5.04813
882,0.732351
883,-2.39572
884,-2.73779
885,-4.52961
886,-0.446516
887,-2.62583
888,-1.94025
889,0.797352
890,-1.43882
891,1.7215
892,-0.0704417
893,-0.235999
894,-1.74821
895,-2.08168
896,-1.42744
897,-0.585909
898,-4.75678
899,3.48135
900,1.08241
901,2.59812
902,-2.25161
903,-0.851585
904,-0.131286
905,-1.74965
906,1.75923
907,0.712982
908,5.52835
909,2.06074
910,-2.74672
911,4.79855
912,0.798311
913,2.30546
914,0.0232795
915,0.243842
916,3.03679
917,4.10061
918,0.839013
919,-2.03909
920,-1.45809
921,-4.43816
922,-2.28206
923,3.14959
924,3.99493
925,0.60244
926,0.0406619
927,-3.66751
928,3.42555
929,-0.737048
930,3.33245
931,0.926372
932,-3.18933
933,3.72253
934,-2.2259
935,-3.61956
936,1.12258
937,-1.95238
938,1.33271
939,-2.46655
940,-1.40036
941,0.746195
942,-3.67262
943,-1.50932
944,-1.00739
945,-4.68785
946,-5.39048
947,-0.57443
948,-2.56775
949,-3.85204
950,1.20166
951,-2.34701
952,0.234054
953,0.379787
954,-0.28116
955,3.11081
956,1.1507
957,-1.90078
958,-1.83404
959,1.44302
960,-0.893885
961,0.166947
962,-2.14963
963,-1.19038
964,2.34748
965,-0.932685
966,1.13876
967,-1.67276
968,-1.29668
969,-0.477759
970,-1.75961
971,-0.761178
972,-0.603615
973,0.00514429
974,-2.6062
975,-3.49356
976,2.7894
977,-3.83798
978,-5.25904
979,-5.5048
980,-0.398097
981,3.52586
982,-2.12407
983,0.116672
984,-2.069
985,-2.34966
986,-0.489387
987,2.8967
988,1.0496
989,-0.217944
990,-0.874358
991,2.84316
992,1.78983
993,2.60238
994,2.41754
995,2.13782
996,1.63372
997,3.63176
998,3.70716
999,4.49355
1000,2.21368
1001,2.04508
1002,2.08714
1003,1.65023
1004,1.90728
1005,1.99063
1006,2.8948
1007,1.60218
1008,2.26642
1009,2.09434
1010,2.38274
1011,0.0784664
1012,0.751235
1013,1.54178
1014,-0.590228
1015,0.760046
1016,0.987932
1017,1.11068
1018,4.47944
1019,-2.05255
1020,-0.521615
1021,3.1432
1022,-1.52288
1023,1.71037
1024,2.14729
1025,-4.2685
1026,0.58318
1027,-0.21691
1028,-2.20507
1029,-2.33773
1030,-1.01194
1031,-3.43766
1032,-0.593906
1033,2.6781
1034,-1.24099
1035,1.4526
1036,3.75592
1037,2.17839
1038,2.57507
1039,0.0113087
1040,2.38834
1041,1.59064
1042,1.19541
1043,1.22585
1044,-1.23338
1045,2.12274
1046,2.36095
1047,-0.13557
1048,-0.862344
1049,-2.46513
1050,-3.33523
1051,-3.90703
1052,3.66195
1053,-4.4683
1054,2.81737
1055,-0.464361
1056,0.186355
1057,1.05162
1058,-2.73584
1059,-3.37536
1060,-1.74352
